,index,Date,Map,Category,Rank,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,Deaths,Assists,Betrayals,Suicides,MaxSpree,ExpectedKills,ExpectedDeaths,Score,Medals,LengthSeconds,LengthMinutes,DamageRatio,KillsBody,Kills/10Min,Deaths/10Min,Assists/10Min,Dmg/10Min,DmgT/10Min,ExcessKills,ExcessDeaths,ExcessKD,LifetimeKD,LifetimeDmgRatio,LifetimeAcc,LifetimeBodyPct,LifetimeMeleePct,LifetimeHSPct,LifetimeGrenadePct,LifetimePowerPct,Csr,LifetimeWinRate
0,679,2024-02-06 02:58:48,Solitude,Strongholds,1,1,51.82,5360,4835,247,128,119,1.13,6.0,17,0,1,13,0,15,12,0,0,4,15.0,17.0,2660,9,697,11.616666666666667,1.108583247156153,3,14.634146341463413,12.91248206599713,10.329985652797705,4614.060258249641,4162.123385939742,2.0,2.0,0.2499999999999999,1.1333333333333333,1.108583247156153,51.821862348178136,17.647058823529413,0.0,76.47058823529412,5.88235294117647,0.0,850,1.0
1,680,2024-02-06 05:01:46,Recharge,Strongholds,1,1,37.98,4169,2494,287,109,178,2.8,12.0,14,1,1,2,0,5,9,0,0,9,13.0,14.0,2140,8,601,10.016666666666667,1.6716118684843624,10,13.976705490848584,4.991680532445923,8.985024958402661,4162.063227953411,2489.8502495840266,1.0,9.0,1.8699999999999997,1.55,1.3001773775412744,44.38202247191011,41.935483870967744,3.225806451612903,48.38709677419355,6.451612903225806,0.0,861,1.0
2,681,2024-02-06 05:13:03,Solitude,Strongholds,5,0,52.1,6924,6835,334,174,160,1.28,8.0,23,5,1,9,0,18,9,0,0,6,20.0,23.0,3550,6,929,15.483333333333333,1.0130212143379664,8,14.854682454251884,11.625403659849301,5.8127018299246505,4471.905274488698,4414.424111948332,3.0,5.0,0.41000000000000003,1.4210526315789473,1.1616068907088393,47.35023041474654,38.88888888888889,11.11111111111111,44.44444444444444,5.555555555555555,0.0,856,0.6666666666666666
3,682,2024-02-06 05:29:51,Live Fire,Oddball,2,1,51.65,4450,4323,182,94,88,1.36,7.33,15,3,0,9,0,11,10,0,0,4,16.0,16.0,2670,4,660,11.0,1.029377746934999,3,13.636363636363635,10.0,9.09090909090909,4045.4545454545455,3930.0,-1.0,5.0,0.3600000000000001,1.4081632653061225,1.1306864283009683,48.095238095238095,34.78260869565217,13.043478260869565,47.82608695652174,4.3478260869565215,0.0,867,0.75
4,683,2024-02-06 05:42:15,Recharge,King of the Hill,8,0,47.72,4937,3497,241,115,126,1.44,7.66,13,1,1,9,0,9,11,0,0,4,16.0,16.0,1900,5,622,10.366666666666667,1.4117815270231626,2,12.540192926045016,8.681672025723472,10.610932475884244,4762.379421221865,3373.3118971061094,-3.0,7.0,0.43999999999999995,1.4137931034482758,1.1754002911208152,48.02478698683191,31.70731707317073,12.195121951219512,51.21951219512195,4.878048780487805,0.0,860,0.6
5,684,2024-02-06 05:53:58,Recharge,Oddball,4,1,46.43,5114,4015,252,117,135,1.42,7.0,17,3,0,9,0,12,6,0,0,4,15.0,16.0,2160,7,630,10.5,1.2737235367372353,5,16.19047619047619,11.428571428571427,5.7142857142857135,4870.476190476191,3823.809523809524,2.0,4.0,0.48,1.4142857142857144,1.1905842532405093,47.76409591704472,31.313131313131315,13.131313131313133,51.515151515151516,4.040404040404041,0.0,872,0.6666666666666666
6,685,2024-02-06 06:06:48,Forbidden,CTF 3 Captures,3,1,52.11,1399,1464,71,37,34,0.8,0.66,4,0,0,2,1,5,5,0,0,2,7.0,5.0,650,2,316,5.266666666666667,0.9556010928961749,1,7.59493670886076,9.49367088607595,9.49367088607595,2656.3291139240505,2779.746835443038,-3.0,0.0,-0.5999999999999999,1.3733333333333333,1.1780577504278484,47.95539033457249,31.06796116504854,12.62135922330097,51.45631067961165,3.8834951456310676,0.9708737864077669,877,0.7142857142857143
7,686,2024-02-06 06:13:33,Live Fire,Strongholds,1,1,61.39,5649,3449,202,124,78,4.75,17.0,19,2,3,10,0,4,6,0,0,6,13.0,14.0,2575,9,585,9.75,1.6378660481298928,4,19.487179487179485,4.102564102564102,6.153846153846154,5793.846153846153,3537.4358974358975,6.0,10.0,3.82,1.5443037974683544,1.2293607660455486,49.44933920704846,29.508196721311474,12.295081967213115,51.63934426229508,5.737704918032787,0.819672131147541,890,0.75
8,690,2024-02-07 03:41:34,Empyrean,CTF 3 Captures,4,1,56.05,6073,3907,248,139,109,1.78,9.33,16,3,0,9,2,9,7,0,0,4,14.0,13.0,2000,10,596,9.933333333333334,1.5543895572050166,2,16.10738255033557,9.060402684563758,7.046979865771812,6113.758389261746,3933.2214765100666,2.0,4.0,0.7,1.3728813559322033,1.203012215435869,48.25462012320328,27.160493827160494,13.580246913580247,50.617283950617285,4.938271604938271,3.7037037037037033,902,0.7777777777777778
9,697,2024-02-07 05:02:48,Live Fire,Strongholds,5,0,57.83,4799,4963,166,96,70,0.94,-0.33,17,0,2,12,4,18,2,0,0,3,14.0,15.0,2125,10,634,10.566666666666666,0.9669554704815636,-1,16.08832807570978,17.034700315457414,1.8927444794952684,4541.6403785488965,4696.845425867508,3.0,-3.0,0.009999999999999898,1.3763440860215055,1.2418504726439417,48.22088724584104,21.09375,12.5,53.125,7.03125,6.25,900,0.7
